uv_file_name,diffuse_file_name,caption
uv/d78ed5e713534fada31d4aaa45e6a394.png,diffuse/d78ed5e713534fada31d4aaa45e6a394.png,"a vintage train car door with a metallic finish, adorned with colorful graffiti and numbers, reflecting a worn and aged look."
uv/235f67f4af244ea79e43c90785108192.png,diffuse/235f67f4af244ea79e43c90785108192.png,a vintage armchair with a green fabric upholstery featuring a distressed texture and a wooden frame with a dark finish.
uv/2a2473a4911d44f3a66649d72a5e5420.png,diffuse/2a2473a4911d44f3a66649d72a5e5420.png,"a worn leather-bound book with a dark, textured cover and a wooden spine, showing signs of aging and use."
uv/394dc569887e447786172e5cf0400480.png,diffuse/394dc569887e447786172e5cf0400480.png,"a 3d rendered image of a cylindrical object with a hexagonal base and a hexagonal top, featuring a gradient of brown colors and a glossy texture."
uv/c2cc8a5ce2ee49e4b69ba17add8d1372.png,diffuse/c2cc8a5ce2ee49e4b69ba17add8d1372.png,"a sleek, dark blue smartphone with a glossy finish and a subtle texture on the back panel, featuring a gradient of orange hues."
uv/fb722475319c478d902674e8ec66ab3a.png,diffuse/fb722475319c478d902674e8ec66ab3a.png,"a robust, hexagonal metal object with a rugged texture, featuring a central square opening and a red cross symbol on the lid, suggesting a medical or emergency use. the base is adorned with blue stripes, adding a contrasting color element."
uv/792a1dab8de241cb9ea17fcb52a4b2c5.png,diffuse/792a1dab8de241cb9ea17fcb52a4b2c5.png,"a tall, cylindrical structure with a hexagonal base and a pointed top, featuring a reflective surface with a metallic sheen and glowing green lights."
uv/1fddf268020b499dac9b952c9268f4a2.png,diffuse/1fddf268020b499dac9b952c9268f4a2.png,"a large, rough-textured, gray boulder with a hexagonal shape and sharp edges."
uv/415a6ac056684dd6a70dbac5b4bc4208.png,diffuse/415a6ac056684dd6a70dbac5b4bc4208.png,"the image shows a white box with a red and blue logo that reads ""pchrome 24h"" and some chinese characters. the box appears to be a product packaging with a glossy finish and a smooth texture. the colors are predominantly white with red and blue accents."
uv/62aaa809d1a444dab83f5797a633e4ac.png,diffuse/62aaa809d1a444dab83f5797a633e4ac.png,"a wooden shelf with a smooth finish and a warm brown color, featuring three shelves with a simple, clean design."
uv/647cebf3d6f6409d8e5337037b2e9a04.png,diffuse/647cebf3d6f6409d8e5337037b2e9a04.png,"a vibrant yellow mailbox with a glossy finish and a flat top, featuring a blue label with white text for postal services."
uv/c0ed58b5e94c443592f7fe2ac41d5d35.png,diffuse/c0ed58b5e94c443592f7fe2ac41d5d35.png,"a wooden chair with a smooth finish and a warm, natural wood color. the chair features a curved backrest and armrests, and the legs are tapered and polished."
uv/1d38f581286c4e0a8e143f9b43b60b8b.png,diffuse/1d38f581286c4e0a8e143f9b43b60b8b.png,"a wooden barrel with a copper band, featuring a rustic texture and a rich, dark brown color."
uv/a6d3f8a9816e427d95648dfafe77714f.png,diffuse/a6d3f8a9816e427d95648dfafe77714f.png,"a robust axe with a weathered metal head and a wooden handle, showing signs of use and age."
uv/6ee44495d4654ca09a5dcddf05239fc8.png,diffuse/6ee44495d4654ca09a5dcddf05239fc8.png,"a low-poly, geometric figure with a dark, monochromatic color scheme, featuring sharp edges and flat surfaces, giving it a modern, abstract appearance."
uv/daa25da428384188834b9359691c323f.png,diffuse/daa25da428384188834b9359691c323f.png,"a wooden axe head with a smooth, polished finish and a light brown color, attached to a darker brown handle."
uv/0d04944061f34b6d84430bd1ae961f6f.png,diffuse/0d04944061f34b6d84430bd1ae961f6f.png,"a futuristic, metallic-looking handheld device with a wooden grip, featuring a sleek, angular design and a textured surface that suggests a combination of smooth metal and natural wood."
uv/6a78c6817f534b7b94fcaac65736e4bc.png,diffuse/6a78c6817f534b7b94fcaac65736e4bc.png,"a cylindrical container with a pink and white marbled pattern, featuring a metallic cap and a matte finish."
uv/c46d64155bae47d4a0888cdfcf8c27dc.png,diffuse/c46d64155bae47d4a0888cdfcf8c27dc.png,"a single, smooth, oval-shaped egg with a uniform, slightly textured surface and a warm, golden-brown color."
